X1,serial,x,y,naics,street,city,state,zip,naics_essential_classification,naics_classification_notes
113509,113509,-82.4627115,29.68443,NA,11328 NW33 AVE,GAINESVILLE,FL,32606,NA,NA
113520,113520,-82.0945852269596,29.6149748191212,112120,4203 SE US HWY 301,HAWTHORNE,FL,32640,Essential,(pg. 3)
113527,113527,-82.4184066151627,29.6005753898755,NA,7050 SW ARCHER RD,GAINESVILLE,FL,32608,NA,NA
113529,113529,-82.3446,29.637657,621330,1601 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential,(pg. 1)
113537,113537,-82.366263,29.694636,424490,4348 NW 29TH WAY,GAINESVILLE,FL,32605,Essential,(pg. 3)
113555,113555,-82.3727835,29.689452,813990,3415 NW 39TH LANE,GAINESVILLE,FL,32605,Essential*,Anything needed to support continuation of essential services
113569,113569,-82.438254,29.621106,531210,3512 SW 92ND ST,GAINESVILLE,FL,32608,Essential,(pg. 14)
113583,113583,-82.32588,29.662524,453998,1120 NORTH MAIN ST,GAINESVILLE,FL,32601,Nonessential,NA
113606,113606,-82.3891905,29.677239,446199,2622 NW 43RD ST A1,GAINESVILLE,FL,32606,Essential,(pg. 1)
113609,113609,-82.495881,29.792043,722511,14920 MAIN ST,ALACHUA,FL,32615,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
113647,113647,-82.397781,29.713464,541110,5128 NW 64TH BLVD,GAINESVILLE,FL,32653,Essential,(pg.15)
113658,113658,-82.3366215,29.67381,339116,1135 NW 23RD AVE B,GAINESVILLE,FL,32609,Essential,(pg. 1)
113690,113690,-82.3418415,29.678283,518210,1515 NW 29TH ROAD APT A3,GAINESVILLE,FL,32605,Essential,"(pg. 12, 13)"
113692,113692,-82.32732,29.651886,722410,233 WEST UNIVERSITY AVE,GAINESVILLE,FL,32601,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees (pg. 3)"
113704,113704,-82.3418415,29.666133,NA,1505 NW 16TH AVE,GAINESVILLE,FL,32605,NA,NA
113715,113715,-82.4096551378263,29.6594831377568,448150,6253 WEST NEWBERRY ROAD,GAINESVILLE,FL,32605,Nonessential,NA
113729,113729,-82.4095035,29.661417,531210,6400 WEST NEWBERRY ROAD 202,GAINESVILLE,FL,32605,Essential,(pg. 14)
113732,113732,-82.3605435,29.714886,238320,2330 NW 65TH PLACE,GAINESVILLE,FL,32653,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
113739,113739,-82.3084425,29.63007,561990,2409 SE 13TH ST,GAINESVILLE,FL,32641,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
113753,113753,-82.384074,29.673396,511199,2131 NW 40TH TERRACE,GAINESVILLE,FL,32605,Nonessential,NA
113783,113783,-82.438551,29.605905,541110,5216 SW 91ST DRIVE,GAINESVILLE,FL,32608,Essential,(pg.15)
113844,113844,-82.3470048999999,29.6447109000001,611310,100 BRYAN HALL,GAINESVILLE,FL,32611,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
113858,113858,-82.2995505,29.643597,561110,908 SE 19TH TERRACE,GAINESVILLE,FL,32641,Essential*,Anything needed to support continuation of essential services
113875,113875,-82.308303,29.683143,238310,1336 NE 32ND AVE,GAINESVILLE,FL,32609,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
113893,113893,-82.4091705,29.68191,561990,3116 NW 62ND TERRACE,GAINESVILLE,FL,32606,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
113909,113909,-82.423701,29.653236,541211,7545 WEST UNIVERSITY AVE A,GAINESVILLE,FL,32607,Essential,(pg.15)
113913,113913,-82.345113,29.634795,621111,1701 SW 16TH AVE,GAINESVILLE,FL,32608,Essential,(pg. 1)
113934,113934,-82.2545415,29.487978,561990,18101 SE 59TH ST,MICANOPY,FL,32667,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
113954,113954,-82.3423005,29.612835,624190,4300 SW 13TH ST,GAINESVILLE,FL,32608,Essential,(pg. 1)
113958,113958,-82.3112830279046,29.6665943999648,713120,1150 NE 16TH AVE,GAINESVILLE,FL,32601,Nonessential,NA
113971,113971,-82.4851892545798,29.6453991868957,611110,645 SW EIGHTH AVE,NEWBERRY,FL,32669,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
113982,113982,-82.1828205,29.64465,424910,12902 SE 8TH AVE,GAINESVILLE,FL,32641,Essential,(pg. 3)
114007,114007,-82.0597724921608,29.478375136762,488119,SE 193RD AVE,HAWTHORNE,FL,32640,Essential,(pg. 10)
114047,114047,-82.081944,29.655297,541611,22717 EAST COUNTY ROAD 1474,HAWTHORNE,FL,32640,Essential*,Anything needed to support continuation of essential services
114056,114056,-82.3907835,29.657529,NA,4423 NW 6TH PLACEBRSUITE C,GAINESVILLE,FL,32607,NA,NA
114058,114058,-82.34271,29.639799,621111,1600 SW ARCHER ROAD G358,GAINESVILLE,FL,32610,Essential,(pg. 1)
114072,114072,-82.472184,29.782413,325414,11801 RESEARCH DRIVE D,ALACHUA,FL,32615,Essential,(pg. 1)
114100,114100,-82.3677922776332,29.6292449952155,561720,3009 SW ARCHER ROAD APT G12,GAINESVILLE,FL,32608,Essential,Definitely essential in hospitals
114153,114153,-82.388691,29.699874,531210,4907 NW 43RD ST A,GAINESVILLE,FL,32606,Essential,(pg. 14)
114156,114156,-82.38645,29.676555,621111,2521 NW 41ST ST,GAINESVILLE,FL,32606,Essential,(pg. 1)
114160,114160,-82.419813,29.653722,812112,7220 WEST UNIVERSITY AVE,GAINESVILLE,FL,32607,Nonessential,NA
114189,114189,-82.4121825655581,29.6597639344419,621111,6500 WEST NEWBERRY ROAD,GAINESVILLE,FL,32605,Essential,(pg. 1)
114209,114209,-82.5808010356057,29.8372746468156,112990,22203 NW 198TH AVE,HIGH SPRINGS,FL,32643,Essential,(pg. 4)
114242,114242,-82.3306635,29.669796,NA,1911 NW 6TH STREET,GAINESVILLE,FL,32609,NA,NA
114261,114261,-82.3446,29.637657,621399,1601 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential,(pg. 1)
114267,114267,-82.3857525,29.679264,621399,2845 NW 41ST ST,GAINESVILLE,FL,32606,Essential,(pg. 1)
114269,114269,-82.4256225,29.663208,812112,1144 NW 76TH BLVD,GAINESVILLE,FL,32606,Nonessential,NA
114274,114274,-82.392912,29.702745,621610,4703 NW 53RD AVE,GAINESVILLE,FL,32653,Essential,(pg. 1)
114277,114277,-82.3446,29.637657,621112,1601 SW ARCHER ROAD 119,GAINESVILLE,FL,32608,Essential,(pg. 1)
114281,114281,-82.473273,29.780955,722511,13709 PROGRESS BLVD,ALACHUA,FL,32615,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
114284,114284,-82.370763,29.687202,541618,3639 NW 33RD TERRACE,GAINESVILLE,FL,32605,Essential*,Anything needed to support continuation of essential services
114297,114297,-82.322752500000007,29.673648,442210,125 NE 23RD AVE EAST,GAINESVILLE,FL,32609,Nonessential,NA
114319,114319,-82.367352,29.697399,NA,4621 NW 30TH TERRACE,GAINESVILLE,FL,32605,NA,NA
114342,114342,-82.402803,29.660886,524210,905 NW 56TH TERRACE A,GAINESVILLE,FL,32605,Essential,(pg.16)
114366,114366,-82.34271,29.639799,621111,1600 SW ARCHER ROAD 6164,GAINESVILLE,FL,32610,Essential,(pg. 1)
114371,114371,-82.372104,29.624265,812199,3265 SW 34TH ST,GAINESVILLE,FL,32608,Nonessential,NA
114373,114373,-82.4245515,29.660067,722511,7700 WEST NEWBERRY ROAD,GAINESVILLE,FL,32606,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
114388,114388,-82.447524,29.665422,561990,1334 NW 98TH TERRACE,GAINESVILLE,FL,32606,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
114406,114406,-82.3352535,29.694897,NA,4404 NW 6TH STREET,GAINESVILLE,FL,32609,NA,NA
114421,114421,-82.4244179540633,29.6535062853562,561499,114 NW 76TH DRIVE,GAINESVILLE,FL,32607,Essential*,Anything needed to support continuation of essential services
114455,114455,-82.34271,29.639799,621111,1600 SW ARCHER ROAD 2,GAINESVILLE,FL,32610,Essential,(pg. 1)
114462,114462,-82.34271,29.639799,621111,1600 SW ARCHER ROAD,GAINESVILLE,FL,32610,Essential,(pg. 1)
114475,114475,-82.439244,29.66535,561990,1311 NW 91ST TERRACE,GAINESVILLE,FL,32606,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
114489,114489,-82.37358,29.63268,448190,2112 SW 34TH ST,GAINESVILLE,FL,32608,Essential*,"Workers supporting the manufacturing of safety equipment and uniforms for law enforcement, public safety personnel, and first responder (pg. 2)"
114498,114498,-82.3818015,29.70936,541611,3927 NW 59TH AVE,GAINESVILLE,FL,32653,Essential*,Anything needed to support continuation of essential services
114523,114523,-82.3749705,29.613996,541410,3521 SW 42ND AVE,GAINESVILLE,FL,32608,Nonessential,NA
114583,114583,-82.3834035,29.634984,621340,4000 SW 20TH AVE,GAINESVILLE,FL,32607,Essential,(pg. 1)
114597,114597,-82.3844115,29.672334,541110,3940 NW 16TH BLVD B,GAINESVILLE,FL,32605,Essential,(pg.15)
114608,114608,-82.369782,29.619324,531110,3406 SW 31ST DRIVE APT 24B,GAINESVILLE,FL,32608,Essential,(pg. 14)
114613,114613,-82.42191,29.627037,561499,2625 SW 75TH ST APT 503,GAINESVILLE,FL,32608,Essential*,Anything needed to support continuation of essential services
114614,114614,-82.3470048999999,29.6447109000001,611310,207 GRINTER HALL,GAINESVILLE,FL,32611,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
114654,114654,-82.4191425,29.601198,621111,7046 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential,(pg. 1)
114658,114658,-82.416564,29.658699,448110,6915 WEST NEWBERRY ROAD,GAINESVILLE,FL,32605,Nonessential,NA
114683,114683,-82.3914315,29.673855,541370,4509 NW 23RD AVE,GAINESVILLE,FL,32606,Essential,(pg. 14)
114685,114685,-82.398024,29.68335,561990,5119 NW 33RD PLACE,GAINESVILLE,FL,32606,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
114698,114698,-82.3208715,29.667204,541370,412 NE 16TH AVE 100,GAINESVILLE,FL,32601,Essential,(pg. 14)
114700,114700,-82.611081,29.646342,453998,25320 WEST NEWBERRY ROAD,NEWBERRY,FL,32669,Nonessential,NA
114756,114756,-82.451754,29.678787,611691,2721 NW 104TH COURT APT 4,GAINESVILLE,FL,32606,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
114789,114789,-82.3424522999999,29.6405544,621111,PO BOX 100183,GAINESVILLE,FL,32610,Essential,(pg. 1)
114795,114795,-82.329633,29.665854,624190,422 NW 15TH AVE,GAINESVILLE,FL,32601,Essential,(pg. 1)
114810,114810,-82.3728825,29.651679,722511,3401 WEST UNIVERSITY AVE,GAINESVILLE,FL,32607,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
114812,114812,-82.3874715,29.67471,561439,4130 NW 16TH BLVD,GAINESVILLE,FL,32605,Essential*,Anything needed to support continuation of essential services
114840,114840,-82.336113,29.657988,611110,1108 NW 7TH AVE,GAINESVILLE,FL,32601,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
114869,114869,-82.3612635,29.67021,561622,2535 NW 19TH WAY,GAINESVILLE,FL,32605,Essential,(pg. 2)
114882,114882,-82.3389435,29.66949,621210,1905 NW 13TH ST,GAINESVILLE,FL,32609,Essential,(pg. 1)
114952,114952,-82.34802,29.677293,813920,2701 NW 23RD BLVD,GAINESVILLE,FL,32605,Essential*,Anything needed to support continuation of essential services
114989,114989,-82.372401,29.604969,446110,5200 SW 34TH ST,GAINESVILLE,FL,32608,Essential,(pg. 2)
114992,114992,-82.421982,29.653695,NA,101 NW 75TH STREET 2,GAINESVILLE,FL,32607,NA,NA
115006,115006,-82.34271,29.639799,621111,1600 SW ARCHER ROAD 4146,GAINESVILLE,FL,32610,Essential,(pg. 1)
115034,115034,-82.32516,29.655585,813910,430 NORTH MAIN ST A,GAINESVILLE,FL,32601,Essential*,Anything needed to support continuation of essential services
115075,115075,-82.449684,29.624958,531110,3207 SW 101ST TERRACE,GAINESVILLE,FL,32608,Essential,(pg. 14)
115083,115083,-82.473381,29.644686,561990,12218 SW 9TH AVE,NEWBERRY,FL,32669,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115106,115106,-82.351071,29.668446,541618,2046 NW 17TH LANE,GAINESVILLE,FL,32605,Essential*,Anything needed to support continuation of essential services
115109,115109,-82.4980725,29.79639,517210,15419 NW US HWY 441,ALACHUA,FL,32615,NA,NA
115116,115116,-82.39311,29.68992,713940,4650 NW 39TH PLACE A,GAINESVILLE,FL,32606,Nonessential,NA
115129,115129,-82.400292,29.648664,561613,319 SW 54TH DRIVE,GAINESVILLE,FL,32607,Essential,(pg. 2)
115136,115136,-82.5992701900286,29.8215368196619,813110,605B SE 1ST PLACE,HIGH SPRINGS,FL,32643,Essential*,For essential support (pg. 14)
115152,115152,-82.336743,29.652354,722513,1124 WEST UNIVERSITY AVE,GAINESVILLE,FL,32601,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
115188,115188,-82.4117923086394,29.755296298161,813410,562 TURKEY CREEK,ALACHUA,FL,32615,Nonessential,NA
115214,115214,-82.337922,29.676348,452990,2611 NW 13TH ST,GAINESVILLE,FL,32609,NA,NA
115224,115224,-82.374192,29.696607,NA,4527 NW 35TH STREET,GAINESVILLE,FL,32605,NA,NA
115266,115266,-82.33101,29.657385,611710,603 NW 7TH AVE,GAINESVILLE,FL,32601,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
115283,115283,-82.400193,29.661318,236220,5348 NW 9TH LANE,GAINESVILLE,FL,32605,Essential,(pg.15)
115315,115315,-82.3388535,29.622015,811212,3301 SW 13TH ST APT D141,GAINESVILLE,FL,32608,Essential,(pg. 15)
115332,115332,-82.4423625,29.689389,445120,9404 NW 39TH AVE,GAINESVILLE,FL,32606,Essential,(pg. 3)
115370,115370,-82.4502105,29.691585,561730,4033 NW 97TH BLVD C,GAINESVILLE,FL,32606,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115375,115375,-82.305261,29.686716,624410,3701 NE 15TH ST,GAINESVILLE,FL,32609,Essential,Childcare must be carried out in stable groups of 10 or fewer (inclusive of childcare providers for the group) (pg.15)
115389,115389,-82.441175265275,29.7746836057027,488119,HIGHWAY 441,ALACHUA,FL,32615,Essential,(pg. 10)
115416,115416,-82.381131,29.63439,541110,3860 SW 20TH AVE APT 1804,GAINESVILLE,FL,32607,Essential,(pg.15)
115425,115425,-82.37862,29.606427,541320,4927 SW 41ST BLVD,GAINESVILLE,FL,32608,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115434,115434,-82.540134,29.645955,236115,727 SW 186TH ST,NEWBERRY,FL,32669,Essential,(pg.15)
115437,115437,-82.601802,29.837763,443142,19975 NW 244TH ST UNIT 30,HIGH SPRINGS,FL,32643,Essential,(pg.16)
115441,115441,-82.2920535,29.656098,238220,515 NE 25TH ST,GAINESVILLE,FL,32641,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115472,115472,-82.3749615,29.691882,531210,4140 NW 35TH ST,GAINESVILLE,FL,32605,Essential,(pg. 14)
115473,115473,-82.3493835,29.678922,531110,2801 NW 23RD BLVD,GAINESVILLE,FL,32605,Essential,(pg. 14)
115539,115539,-82.3421925,29.706066,NA,1508 NW 55TH PLACE,GAINESVILLE,FL,32653,NA,NA
115555,115555,-82.398114,29.702358,813110,5129 NW 53RD AVE,GAINESVILLE,FL,32653,Essential*,For essential support (pg. 14)
115569,115569,-82.39077,29.674359,624110,4432 NW 23RD AVE 2,GAINESVILLE,FL,32606,Essential,(pg. 1)
115591,115591,-82.3250410138293,29.6381861897155,561499,198 SE 13TH AVE,GAINESVILLE,FL,32601,Essential*,Anything needed to support continuation of essential services
115598,115598,-82.400814,29.608884,813312,5403 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential*,Anything needed to support continuation of essential services
115614,115614,-82.3396005,29.660427,813319,912 NW 13TH ST,GAINESVILLE,FL,32601,Essential*,"Public agency workers responding to abuse and neglect of children, elders, and dependent adults. (pg. 3)"
115631,115631,-82.5223635,29.650725,561499,303 SW 170TH ST,NEWBERRY,FL,32669,Essential*,Anything needed to support continuation of essential services
115669,115669,-82.34271,29.639799,621210,1600 SW ARCHER ROAD D111,GAINESVILLE,FL,32610,Essential,(pg. 1)
115678,115678,-82.484361,29.686446,561990,3520 NW 133RD ST,GAINESVILLE,FL,32606,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115708,115708,-82.447002,29.795562,561990,15314 NW 93RD ST,ALACHUA,FL,32615,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115718,115718,-82.56474,29.860254,424120,20620 NW COUNTY ROAD 236,HIGH SPRINGS,FL,32643,Nonessential,NA
115744,115744,-82.448883,29.685978,541519,3499 NW 97TH BLVD,GAINESVILLE,FL,32606,Essential,(pg.12)
115756,115756,-82.409724,29.65059,621111,200 SW 62ND BLVD B,GAINESVILLE,FL,32607,Essential,(pg. 1)
115771,115771,-82.44918,29.616858,561990,4027 SW 100TH WAY,GAINESVILLE,FL,32608,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115802,115802,-82.400742,29.756322,713930,5104 NW 109TH LANE,GAINESVILLE,FL,32653,Essential*,"As set forth in Miami-Dade County Emergency Order 06-20, as amended prior to April 3, 2020 (pg. 10)"
115821,115821,-82.499364,29.67282,541618,2145 NW 147TH ST,NEWBERRY,FL,32669,Essential*,Anything needed to support continuation of essential services
115836,115836,-82.4821425,29.561787,813110,13020 SW ARCHER ROAD,ARCHER,FL,32618,Essential*,For essential support (pg. 14)
115837,115837,-82.393452,29.576826,561730,4802 SW 85TH AVE,GAINESVILLE,FL,32608,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115846,115846,-82.367181,29.702115,453310,5110 NW 34TH ST,GAINESVILLE,FL,32605,Nonessential,NA
115888,115888,-82.379331,29.663019,713940,3715 NW 12TH AVE,GAINESVILLE,FL,32605,Nonessential,NA
115907,115907,-82.3411035,29.62971,531110,2306 SW 13TH ST,GAINESVILLE,FL,32608,Essential,(pg. 14)
115932,115932,-82.48887,29.654532,621999,128 NW 137TH DRIVE,NEWBERRY,FL,32669,Essential,(pg. 1)
115934,115934,-82.412612879913,29.6594903008629,443142,6461 WEST NEWBERRY ROAD,GAINESVILLE,FL,32605,Essential,(pg.16)
115951,115951,-82.266732,29.504673,444130,16217 HWY 441 SOUTH,MICANOPY,FL,32667,Essential,(pg.17)
115965,115965,-82.3698225,29.704833,561990,5426 NW 32ND ST,GAINESVILLE,FL,32653,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
115975,115975,-82.32516,29.651715,NA,4 S MAIN ST,GAINESVILLE,FL,32601,NA,NA
115994,115994,-82.359153,29.699307,561990,2532 NW 49TH AVE,GAINESVILLE,FL,32605,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
116009,116009,-82.3538968180741,29.7194760990185,NA,7065 NW 22ND STREET SUITE A,GAINESVILLE,FL,32653,NA,NA
116015,116015,-82.534743,29.869263,561990,23305 NW COUNTY ROAD 235A,ALACHUA,FL,32615,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
116019,116019,-82.0868926633672,29.5864340470671,712110,7225 SE 221ST ST,HAWTHORNE,FL,32640,Nonessential,NA
116056,116056,-82.34271,29.639799,621111,1600 SW ARCHER ROAD,GAINESVILLE,FL,32610,Essential,(pg. 1)
116063,116063,-82.2999497183204,29.673850583166,442110,1934 NE 23RD AVE,GAINESVILLE,FL,32609,Nonessential,NA
116070,116070,-82.336734,29.651778,611710,1123 WEST UNIVERSITY AVE,GAINESVILLE,FL,32601,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
116094,116094,-82.555722,29.880612,561730,19901 NW 247TH LANE,HIGH SPRINGS,FL,32643,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
116129,116129,-82.3532625,29.669382,561520,1825 NW 22ND TERRACE,GAINESVILLE,FL,32605,Nonessential,NA
116130,116130,-82.440171,29.61144,531312,4437 SW 91ST DRIVE,GAINESVILLE,FL,32608,Essential,(pg. 14)
116133,116133,-82.4121825655581,29.6597639344419,621111,6500 WEST NEWBERRY ROAD,GAINESVILLE,FL,32605,Essential,(pg. 1)
116149,116149,-82.34271,29.639799,621111,1600 SW ARCHER ROAD 100277,GAINESVILLE,FL,32610,Essential,(pg. 1)
116159,116159,-82.38888,29.657592,813110,747 NW 43RD ST,GAINESVILLE,FL,32607,Essential*,For essential support (pg. 14)
116180,116180,-82.435671,29.628864,238220,2653 SW 87TH DRIVE,GAINESVILLE,FL,32608,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
116181,116181,-82.3776367316783,29.6246483678329,812112,3240 SW 35TH BLVD,GAINESVILLE,FL,32608,Nonessential,NA
116257,116257,-82.3691205,29.699316,561421,3134 NW 48TH PLACE,GAINESVILLE,FL,32605,Essential*,Anything needed to support continuation of essential services
116273,116273,-82.263672,29.650824,611110,5121 EAST UNIVERSITY AVE,GAINESVILLE,FL,32641,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
116278,116278,-82.334304,29.659617,812199,900 NW 8TH AVE,GAINESVILLE,FL,32601,Nonessential,NA
116280,116280,-82.2774015,29.511369,812112,208 NE HWY 441,MICANOPY,FL,32667,Nonessential,NA
116314,116314,-82.48374,29.670615,531210,13230 NW 19TH PLACE,GAINESVILLE,FL,32606,Essential,(pg. 14)
116327,116327,-82.351431,29.669076,236220,1816 NW 21ST ST,GAINESVILLE,FL,32605,Essential,(pg.15)
116329,116329,-82.341585,29.5997625,NA,718 SW 16TH ST,GAINESVILLE,FL,32608,NA,NA
116332,116332,-82.167903,29.793447,441320,15050 NE US HWY 301,WALDO,FL,32694,Essential,(pg. 9)
116351,116351,-82.3451535,29.639277,621210,1395 CENTER DRIVE D9,GAINESVILLE,FL,32610,Essential,(pg. 1)
116384,116384,-82.4219325,29.603934,311351,5333 SW 75TH ST APT J59,GAINESVILLE,FL,32608,Essential,(pg. 3)
116391,116391,-82.3389435,29.672406,445110,2107 NW 13TH ST,GAINESVILLE,FL,32609,Essential,(pg. 3)
116402,116402,-82.2735832322621,29.6769697293115,488119,3880 NE 39TH AVE A,GAINESVILLE,FL,32609,Essential,(pg. 10)
116404,116404,-82.320624,29.65212,541110,500 EAST UNIVERSITY AVE A,GAINESVILLE,FL,32601,Essential,(pg.15)
116441,116441,-82.301841,29.679264,NA,2907 NE 17TH TERR,GAINESVILLE,FL,32609,NA,NA
116447,116447,-82.4953005,29.788425,811212,14555 MAIN ST,ALACHUA,FL,32615,Essential,(pg. 15)
116474,116474,-82.4916105,29.672424,722511,13909 NW 21ST LANE,GAINESVILLE,FL,32606,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
116479,116479,-82.374111,29.626263,532230,3416 SW ARCHER ROAD,GAINESVILLE,FL,32608,NA,NA
116488,116488,-82.470213,29.781216,NA,11611 RESEARCH CIRCLE,ALACHUA,FL,32615,NA,NA
116513,116513,-82.333143,29.674152,NA,808 NW 23RD AVE,GAINESVILLE,FL,32609,NA,NA
116566,116566,-82.2587625,29.698074,713990,5202 NE 46TH AVE,GAINESVILLE,FL,32609,Nonessential,NA
116625,116625,-82.386711,29.677455,518210,2630 NW 41ST ST B,GAINESVILLE,FL,32606,Essential,"(pg. 12, 13)"
116638,116638,-82.357272,29.699766,541310,2421 NW 49TH AVE,GAINESVILLE,FL,32605,Essential,(pg. 14)
116640,116640,-82.31382,29.656566,541320,922 NE 5TH PLACE,GAINESVILLE,FL,32601,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
116653,116653,-82.323531,29.649582,722511,101 SE 2ND PLACE 115,GAINESVILLE,FL,32601,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
116656,116656,-82.309824,29.655324,621111,410 NE WALDO ROAD,GAINESVILLE,FL,32641,Essential,(pg. 1)
116660,116660,-82.4938425,29.795364,561990,15311 NW 140TH ST,ALACHUA,FL,32615,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
116705,116705,-82.389204,29.706012,621210,5622 NW 43RD ST,GAINESVILLE,FL,32653,Essential,(pg. 1)
116732,116732,-82.3984605,29.687787,531210,5109 NW 39TH AVE B,GAINESVILLE,FL,32606,Essential,(pg. 14)
116746,116746,-82.38681,29.697849,332119,4705 NW 41ST ST,GAINESVILLE,FL,32606,Essential,(pg.15)
116755,116755,-82.4011515,29.71836,561990,5421 NW 69TH LANE,GAINESVILLE,FL,32653,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
